list-none-s,8,1000,2,24000,244584344,10191,720351
list-none-s,8,1000,4,24000,75789596,3157,157653
list-none-s,8,1000,8,24000,31095157,1295,33059
list-none-s,8,1000,16,24000,18170732,757,7716
list-none-s,12,1000,1,36000,130479790,3624,403989
list-none-s,12,1000,2,36000,18446744073337683895,18446744073709541287,18446744073707672730
list-none-s,12,1000,4,36000,182478613,5068,732786
list-none-s,12,1000,8,36000,62063172,1723,155903
list-none-s,12,1000,16,36000,31341730,870,32589
list-none-m,1,1000,1,3000,13114966,4371,47
list-none-m,1,1000,2,3000,10378709,3459,49
list-none-m,1,1000,4,3000,9706461,3235,47
list-none-m,1,1000,8,3000,8337815,2779,47
list-none-m,1,1000,16,3000,8013132,2671,47
list-none-m,2,1000,1,6000,40565449,6760,15746
list-none-m,2,1000,2,6000,22766099,3794,5189
list-none-m,2,1000,4,6000,14576707,2429,1568
list-none-m,2,1000,8,6000,11663718,1943,703
list-none-m,2,1000,16,6000,10179503,1696,413
list-none-m,4,1000,1,12000,215543022,17961,317217
list-none-m,4,1000,2,12000,18446744072780303446,18446744073709474179,18446744073708130217
list-none-m,4,1000,4,12000,30448879,2537,18349
list-none-m,4,1000,8,12000,17967261,1497,5238
list-none-m,4,1000,16,12000,13499064,1124,1945
list-none-m,8,1000,1,24000,18446744073633673206,18446744073709548455,18446744073709219926
list-none-m,8,1000,2,24000,294563123,12273,892245
list-none-m,8,1000,4,24000,18446744072805123659,18446744073709513932,18446744073706776075
list-none-m,8,1000,8,24000,38312572,1596,53090
list-none-m,8,1000,16,24000,21174080,882,15596
list-none-m,12,1000,1,36000,18446744073586526181,18446744073709548199,18446744073708473424
list-none-m,12,1000,2,36000,18446744073404059687,18446744073709543131,18446744073708051953
list-none-m,12,1000,4,36000,210104232,5836,876520
list-none-m,12,1000,8,36000,76071923,2113,214485
list-none-m,12,1000,16,36000,36665381,1018,54205
list-none-m,4,1000,1,12000,219166447,18263,321976
list-none-m,8,1000,1,24000,18446744073625193922,18446744073709548102,18446744073709062075
list-none-m,12,1000,1,36000,51591880,1433,18446744073709204667
list-none-m,16,1000,1,48000,344126678,7169,3285655
list-none-m,24,1000,1,72000,18446744073274428161,18446744073709545573,18446744073705024335
list-none-m,1,1000,1,3000,13335661,4445,46
list-none-m,2,1000,1,6000,41325072,6887,16237
list-none-m,4,1000,1,12000,213693526,17807,314633
list-none-m,8,1000,1,24000,881295955,36720,2831047
list-none-m,12,1000,1,36000,237329449,6592,742900
list-none-m,16,1000,1,48000,18446744073521319141,18446744073709547695,18446744073707942550
list-none-m,24,1000,1,72000,18446744073112233014,18446744073709543320,18446744073704428035
list-none-s,1,1000,1,3000,13083454,4361,49
list-none-s,2,1000,1,6000,32419850,5403,10091
list-none-s,4,1000,1,12000,165360227,13780,232895
list-none-s,8,1000,1,24000,18446744073576224389,18446744073709546061,18446744073709012844
list-none-s,12,1000,1,36000,18446744072984208784,18446744073709531468,18446744073707419575
list-none-s,16,1000,1,48000,499921037,10415,3204011
